\N	2	1	1	_. The best a man can get.
\N	2	1	1	When in doubt or danger, run in _, scream and shout!
\N	2	1	2	How high do you have to be to put _ on _?
\N	2	1	1	_. A real American hero.
\N	2	1	1	I'm late to my meeting for _.
\N	2	1	1	A _! A _! My kingdom for a _!
\N	2	1	1	In future times, the children will come together to build _.
\N	2	1	1	In a valley with no mountains, there _ lies.
\N	2	1	1	At least I didn't fuck _.
\N	2	1	1	_. It's nobody's business but the Turks'.
\N	2	1	1	_... like a woman's.
\N	2	1	2	I reached into _, but found only _.
\N	2	1	1	My next appearance will be as _.
\N	2	1	1	_ shall inherit the Earth.
\N	2	1	1	First we take Manhattan. Then we take _.
\N	2	1	1	He who destroys _ kills reason itself.
\N	2	1	1	We do this not because it is easy, but because it is _.
\N	2	1	1	What is drama but life with _ cut out?
\N	2	1	1	The new Hollywood epic: "The Search for _ of Destiny"
\N	2	1	1	Wait to strike until _ is hot!
\N	2	1	1	Oh my God Becky! Look at _!
\N	2	1	2	There is only one good, _, and one evil, _.
\N	2	1	1	On my wedding night my father told me, "Don't go chasing _."
\N	2	1	2	Who so pulleth out _ of this stone is rightwise king born of all _.
\N	2	1	1	That which does not kill us makes us _.
\N	2	1	1	The only thing that saves us from _ is its inefficiency.
\N	2	1	2	Nobody will ever deprive the American people of _, except the _.
\N	2	1	1	_ is the best provision for old age.
\N	2	1	1	A pair of powerful _ has sometimes sufficed to cure a person in love.
\N	2	1	1	Measure what is _ and make _ what is not so.
\N	2	1	2	After coming into contact with _, I always feel I must wash my _.
\N	2	1	1	The evil that men do lives after them; the good is oft interred with their _.
\N	2	1	1	Who knows what evil lurks in the heart of men? _ knows.
\N	2	1	1	And before I let your steam drill beat me down, I'll die with _ in my hand.
\N	2	1	1	To thine own _ be true.
\N	2	1	1	A fool thinks himself to be wise, but a wise man knows himself to be _.
\N	2	1	3	Three things are necessary for the salvation of man: to know _, to know _, and to know _.
\N	2	1	1	Please don't go. _ needs you. _ looks up to you.
\N	2	1	1	Their rising all at once was as the sound of _ heard remote.
\N	2	1	1	Give a man _, and you feed him for a day.
\N	2	1	2	_ begins where _ ends.
\N	2	1	1	Good night, good night! _ is such sweet sorrow...
\N	2	1	1	Hark! What _ through yonder window breaks?
\N	2	1	3	Happiness: _, _, and _.
\N	2	1	1	Happiness lies in the joy of achievement and the thrill of _.
\N	2	1	1	Men, like _, go farthest when they are smoothest.
\N	2	1	1	Physical strength can never permanently withstand the impact of _.
\N	2	1	1	I want to say one word to you, just one word: _.
\N	2	1	1	I am a victim of that which is my own: _.
\N	2	1	1	I ask that you judge me by _ I have made.
\N	2	1	1	I am become _, the destroyer of worlds.
\N	2	1	1	There are no facts, only _.
\N	2	1	1	In nothing do men more nearly approach the gods, than in giving _ to men.
\N	2	1	2	_. Never was a good one made of _.
\N	2	1	1	The best weapon against _ is _.
\N	2	1	1	A good rule for experimenting with _ is this: always assume that it will explode.
\N	2	1	1	Those who do not remember _ are condemned to repeat it.
\N	2	1	1	_ was God's second mistake.
\N	2	1	1	If _ were so simple we could understand it, we would be so simple we couldn't.
\N	2	1	2	All men can see _ whereby I conquer, but what none can see is _ out of which victory is evolved.
\N	2	1	2	_ don't want none unless you've got _, hon.
\N	2	1	1	As soon as men decide that all means are permitted to fight an evil, then their good becomes _.
